rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,city,state,region,yearFounded,stateCode,collegeType,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
46,Carnegie Mellon University,PA,15567,Urban,152500,Pittsburgh,Pennsylvania,Northeast,1900,PA,Private not-for-profit,5,15567,7034,29629565,60,50
47,Claremont McKenna College,CA,1361,Suburban,161700,Claremont,California,West,1946,CA,Private not-for-profit,8,1361,1358,7863809,51,44
48,Bowdoin College,ME,1973,Rural,145600,Brunswick,Maine,Northeast,1794,ME,Private not-for-profit,8,1973,1973,12574545,58,52
49,"University of Wisconsin, Madison",WI,47831,Urban,117100,Madison,Wisconsin,Midwest,1848,WI,Public,16,47831,35038,35532250,58,47
50,Wake Forest University,NC,9266,Urban,135300,Winston-Salem,North Carolina,South,1834,NC,Private not-for-profit,11,9266,5445,22194015,44,34
51,Wesleyan University,CT,3599,Urban,143100,Middletown,Connecticut,Northeast,1831,CT,Private not-for-profit,8,3599,3295,16805707,48,41
52,"Texas A&M University, College Station",TX,73308,Urban,129900,College Station,Texas,South,1876,TX,Public,19,73308,56517,68974651,81,64
53,Hamilton College,NY,2085,Suburban,125900,Clinton,New York,Northeast,1812,NY,Private not-for-profit,9,2085,2085,12642477,61,55
54,Boston University,MA,42047,Urban,134000,Boston,Massachusetts,Northeast,1839,MA,Private not-for-profit,10,42047,22674,68722830,53,48
55,Middlebury College,VT,4616,Rural,138100,Middlebury,Vermont,Northeast,1800,VT,Private not-for-profit,8,4616,3833,12382994,43,41
56,Santa Clara University,CA,9509,Urban,157200,Santa Clara,California,West,1851,CA,Private not-for-profit,11,9509,5982,24279772,74,69
57,Brigham Young University,UT,39086,Urban,131700,Provo,Utah,West,1875,UT,Private not-for-profit,21,39086,35850,17270324,71,54
58,Purdue University,IN,49027,Urban,119100,West Lafayette,Indiana,Midwest,1869,IN,Public,13,49027,36989,36667214,61,42
59,Washington and Lee University,VA,2269,Rural,152300,Lexington,Virginia,South,1749,VA,Private not-for-profit,8,2269,1865,12997151,67,60
60,New York University,NY,58361,Urban,136900,New York,New York,Northeast,1831,NY,Private not-for-profit,8,58361,29633,98732499,65,60
61,George Washington University,DC,32209,Urban,139600,Washington,District of Columbia,Northeast,1821,DC,Private not-for-profit,13,32209,13980,63297253,72,71
62,Trinity College (CT),CT,2372,Urban,131100,Hartford,Connecticut,Northeast,1823,CT,Private not-for-profit,9,2372,2311,14881471,56,51
63,San Diego State University,CA,38336,Urban,114000,San Diego,California,West,1897,CA,Public,27,38336,33077,23021824,61,47
64,University of Georgia,GA,42941,Urban,113900,Athens,Georgia,South,1785,GA,Public,17,42941,32702,56378523,92,90
65,"Binghamton University, SUNY",NY,19660,Suburban,126900,Binghamton,New York,Northeast,1946,NY,Public,19,19660,15293,17163693,76,60
66,"CUNY, Baruch College",NY,22599,Urban,121000,New York,New York,Northeast,1847,NY,Public,20,22599,18794,19467236,91,91
67,Florida State University,FL,47836,Urban,105400,Tallahassee,Florida,South,1851,FL,Public,21,47836,36789,66632849,96,95
68,"University of Minnesota, Twin Cities",MN,63760,Urban,117400,Minneapolis,Minnesota,Midwest,1851,MN,Public,17,63760,46135,40287982,80,61
69,Davidson College,NC,2022,Suburban,134700,Davidson,North Carolina,South,1837,NC,Private not-for-profit,9,2022,2022,14618699,69,66
70,"North Carolina State University, Raleigh",NC,40537,Urban,119700,Raleigh,North Carolina,South,1887,NC,Public,14,40537,28869,26722487,68,52
71,Barnard College,NY,2771,Urban,131500,New York,New York,Northeast,1889,NY,Private not-for-profit,9,2771,2771,11767093,48,40
72,University of Richmond,VA,4534,Urban,123100,Richmond,Virginia,South,1830,VA,Private not-for-profit,8,4534,3672,21595216,66,59
73,Vassar College,NY,2591,Suburban,124800,Poughkeepsie,New York,Northeast,1861,NY,Private not-for-profit,8,2591,2591,19524983,64,58
74,University of Connecticut,CT,29818,Suburban,117700,Storrs,Connecticut,Northeast,1881,CT,Public,16,29818,20501,34234946,77,67
75,New Jersey Institute of Technology,NJ,13619,Urban,137600,Newark,New Jersey,Northeast,1881,NJ,Public,15,13619,10275,18107118,93,86
76,"California State University, Fullerton",CA,46245,Suburban,110400,Fullerton,California,West,1957,CA,Public,27,46245,40436,32193227,80,75
77,Lafayette College,PA,2701,Suburban,144300,Easton,Pennsylvania,Northeast,1826,PA,Private not-for-profit,9,2701,2701,16232169,57,53
78,University of Miami (FL),FL,19971,Urban,115300,Coral Gables,Florida,South,1925,FL,Private not-for-profit,12,19971,12547,55391260,72,68
79,Northeastern University,MA,30003,Urban,120100,Boston,Massachusetts,Northeast,1898,MA,Private not-for-profit,14,30003,19769,84882594,82,80
80,"California State University, Long Beach",CA,42378,Urban,112500,Long Beach,California,West,1949,CA,Public,24,42378,35933,34905559,80,75
81,Michigan State University,MI,55406,Urban,112300,East Lansing,Michigan,Midwest,1855,MI,Public,16,55406,42294,62753112,71,57
82,Virginia Tech,VA,38350,Urban,128800,Blacksburg,Virginia,,1872,,Public,14,38350,30324,30506575,66,59
83,Southern Methodist University,TX,12963,Suburban,131600,Dallas,Texas,South,1911,TX,Private not-for-profit,11,12963,7147,40437904,78,75
84,"University of California, Riverside",CA,27507,Urban,121900,Riverside,California,West,1954,CA,Public,22,27507,23848,71748987,91,91
85,Pomona College,CA,1733,Suburban,146400,Claremont,California,West,1887,CA,Private not-for-profit,6,1733,1733,12242441,72,66
86,"Stony Brook University, SUNY",NY,34115,Suburban,123800,Stony Brook,New York,Northeast,1957,NY,Public,19,34115,24056,25038352,76,71
87,"University of California, Santa Cruz",CA,20861,Urban,121100,Santa Cruz,California,West,1965,CA,Public,25,20861,18761,38780086,67,65
88,University of Utah,UT,38335,Urban,119300,Salt Lake City,Utah,West,1850,UT,Public,17,38335,29205,30117505,87,80
89,Bucknell University,PA,3868,Rural,151800,Lewisburg,Pennsylvania,Northeast,1846,PA,Private not-for-profit,9,3868,3786,17624077,60,51
90,University at Buffalo,NY,35509,Suburban,108600,Buffalo,New York,Northeast,1846,NY,Public,14,35509,24445,28631531,86,83
91,"Indiana University, Bloomington",IN,46441,Urban,110900,Bloomington,Indiana,Midwest,1820,IN,Public,16,46441,34790,64116048,80,69
92,Grinnell College,IA,1754,Rural,126200,Grinnell,Iowa,Midwest,1846,IA,Private not-for-profit,8,1754,1754,15378691,88,88
93,Rutgers University,NJ,56178,Urban,128800,New Brunswick,New Jersey,Northeast,1766,NJ,Public,16,56178,40730,47619691,66,48
94,Villanova University,PA,12231,Suburban,135600,Villanova,Pennsylvania,Northeast,1842,PA,Private not-for-profit,11,12231,7503,31714953,64,54
95,Bryn Mawr College,PA,1788,Suburban,122600,Bryn Mawr,Pennsylvania,Northeast,1885,PA,Private not-for-profit,8,1788,1444,9460062,72,69
96,Colorado College,CO,2332,Urban,112400,Colorado Springs,Colorado,West,1874,CO,Private not-for-profit,9,2332,2298,11961894,53,47
97,University of Rochester,NY,14171,Urban,131900,Rochester,New York,Northeast,1850,NY,Private not-for-profit,10,14171,8037,47735154,83,82
98,"California Polytechnic State University, San Luis Obispo",CA,22817,Suburban,134700,San Luis Obispo,California,West,1901,CA,Public,21,22817,21736,15186095,64,53
99,University of Illinois at Chicago,IL,35210,Urban,114700,Chicago,Illinois,Midwest,1859,IL,Public,18,35210,23451,45890612,85,79
100,Loyola Marymount University,CA,10629,Urban,133800,Los Angeles,California,West,1911,CA,Private not-for-profit,10,10629,7152,29380620,93,92
101,Bates College,ME,1958,Urban,142200,Lewiston,Maine,Northeast,1855,ME,Private not-for-profit,10,1958,1958,9770560,48,41
102,Syracuse University,NY,38868,Urban,119400,Syracuse,New York,Northeast,1870,NY,Private not-for-profit,15,38868,29745,80616960,88,86
103,"University of Colorado, Boulder",CO,41826,Urban,125400,Boulder,Colorado,West,1876,CO,Public,18,41826,34026,37830364,67,54
104,Colby College,ME,2196,Rural,120700,Waterville,Maine,Northeast,1813,ME,Private not-for-profit,10,2196,2196,11481866,43,40
105,Haverford College,PA,1392,Suburban,147400,Haverford,Pennsylvania,Northeast,1833,PA,Private not-for-profit,8,1392,1392,7726501,48,42
106,Lehigh University,PA,7445,Urban,152800,Bethlehem,Pennsylvania,Northeast,1865,PA,Private not-for-profit,9,7445,5432,30545970,69,51
107,Case Western Reserve University,OH,12298,Urban,135600,Cleveland,Ohio,Midwest,1826,OH,Private not-for-profit,11,12298,5520,40564474,90,88
108,San Jose State University,CA,39442,Urban,124300,San Jose,California,West,1857,CA,Public,25,39442,29870,22558139,72,65
109,University of San Diego,CA,10181,Urban,126500,San Diego,California,West,1949,CA,Private not-for-profit,13,10181,6327,29932306,82,79
110,Babson College,MA,3987,Suburban,161700,Babson Park ,Massachusetts,Northeast,1919,MA,Private not-for-profit,14,3987,2811,10980319,52,45
111,University of Houston,TX,51217,Urban,115100,Houston,Texas,South,1927,TX,Public,23,51217,42607,43353505,94,93
112,Brandeis University,MA,6403,Urban,136000,Waltham,Massachusetts,Northeast,1948,MA,Private not-for-profit,10,6403,3985,19437305,72,69
113,Clemson University,SC,28933,Suburban,116100,Clemson,South Carolina,South,1889,SC,Public,16,28933,22100,33917026,89,85
114,Harvey Mudd College,CA,1132,Suburban,167800,Claremont,California,West,1955,CA,Private not-for-profit,8,1132,1132,5928636,71,63
115,Tulane University,LA,14652,Urban,125600,New Orleans,Louisiana,South,1834,LA,Private not-for-profit,8,14652,9186,40554223,80,79
116,Louisiana State University,LA,34811,Urban,110900,Baton Rouge,Louisiana,South,1853,LA,Public,22,34811,27753,76377830,98,97
117,"University of Tennessee, Knoxville",TN,32056,Urban,103300,Knoxville,Tennessee,South,1794,TN,Public,17,32056,24949,46654966,91,84
118,University of South Florida,FL,60343,Urban,102800,Tampa,Florida,South,1956,FL,Public,22,60343,45587,52644051,92,89
119,University of Central Florida,FL,81082,Suburban,99200,Orlando,Florida,South,1963,FL,Public,31,81082,68814,66237034,94,90
120,Florida International University,FL,73970,Suburban,101500,Miami,Florida,South,1967,FL,Public,25,73970,61869,31706720,94,93
121,"University of Texas, Dallas",TX,32043,Urban,111600,Richardson,Texas,South,1969,TX,Public,25,32043,22409,48317132,82,75
122,Skidmore College,NY,2818,Suburban,115400,Saratoga Springs,New York,Northeast,1903,NY,Private not-for-profit,8,2818,2817,18346395,64,53
123,Colorado School of Mines,CO,7092,Suburban,151200,Golden,Colorado,West,1874,CO,Public,17,7092,5411,12324552,90,83
124,"CUNY, The City College of New York",NY,18546,Urban,107100,New York,New York,Northeast,1847,NY,Public,15,18546,15220,19043796,96,95
125,"Arizona State University, Tempe",AZ,82880,Urban,111300,Tempe,Arizona,West,1885,AZ,Public,18,82880,69024,157558319,94,90
126,Occidental College,CA,2104,Urban,130800,Los Angeles,California,West,1887,CA,Private not-for-profit,8,2104,2103,14660659,77,73
127,Franklin W Olin College of Engineering,MA,421,Suburban,,Needham,Massachusetts,Northeast,,MA,Private not-for-profit,6,421,421,3426460,100,100
128,"CUNY, Hunter College",NY,28072,Urban,103000,New York,New York,Northeast,1870,NY,Public,15,28072,20665,22049234,94,93
129,Scripps College,CA,1137,Suburban,107600,Claremont,California,West,1926,CA,Private not-for-profit,9,1137,1097,5151465,55,49
130,Yeshiva University,NY,6174,Urban,143500,New York,New York,Northeast,1886,NY,Private not-for-profit,7,6174,3234,13662852,87,86
131,University of Arizona,AZ,49966,Urban,112800,Tucson,Arizona,West,1885,AZ,Public,15,49966,38556,81922534,95,93
132,University of Delaware,DE,26527,Suburban,117900,Newark,Delaware,Northeast,1743,DE,Public,15,26527,21869,45896491,89,85
133,American University,DC,16032,Urban,121800,Washington,District of Columbia,Northeast,1893,DC,Private not-for-profit,11,16032,9206,29292043,74,57
134,College of the Holy Cross,MA,3098,Urban,130900,Worcester,Massachusetts,Northeast,1843,MA,Private not-for-profit,10,3098,3098,20812167,73,64
135,"University of Maryland, Baltimore County",MD,15403,Suburban,117600,Baltimore,Maryland,Northeast,1966,MD,Public,17,15403,12359,11965988,83,69
136,Auburn University,AL,32840,Urban,114700,Auburn,Alabama,South,1856,AL,Public,20,32840,26235,29534482,74,67
137,University of Iowa,IA,34495,Urban,114500,Iowa City,Iowa,Midwest,1847,IA,Public,16,34495,25755,37489127,87,72
138,Franklin and Marshall College,PA,2482,Urban,140800,Lancaster,Pennsylvania,Northeast,1787,PA,Private not-for-profit,9,2482,2482,16272058,59,54
139,James Madison University,VA,24039,Urban,115600,Harrisonburg,Virginia,South,1908,VA,Public,17,24039,21818,13089069,60,31
140,George Mason University,VA,49755,Suburban,120000,Fairfax,Virginia,South,1949,VA,Public,17,49755,35884,22926441,75,62
141,San Francisco State University,CA,32541,Urban,109100,San Francisco,California,West,1899,CA,Public,22,32541,28789,24046080,78,72
142,"California State Polytechnic University, Pomona",CA,29687,Suburban,123800,Pomona,California,West,1938,CA,Public,29,29687,27785,20019129,78,71
143,Texas Christian University,TX,11506,Urban,112700,Fort Worth,Texas,South,1873,TX,Private not-for-profit,13,11506,9752,44462458,82,74
144,"University of Missouri, Columbia",MO,32916,Urban,112100,Columbia,Missouri,Midwest,1839,MO,Public,18,32916,24146,52159648,93,88
145,University of Denver,CO,15412,Urban,120200,Denver,Colorado,West,1864,CO,Private not-for-profit,11,15412,6190,37315415,90,89
146,Smith College,MA,3277,Suburban,117000,Northampton,Massachusetts,Northeast,1871,MA,Private not-for-profit,7,3277,2672,20203826,78,67
147,"California State University, Los Angeles",CA,28607,Urban,103300,Los Angeles,California,West,1889,CA,Public,25,28607,24240,34217346,95,94
148,"University of Oklahoma, Norman",OK,31445,Suburban,109300,Norman,Oklahoma,,1890,,Public,20,31445,23736,35474053,95,90
149,Carleton College,MN,2150,Rural,133900,Northfield,Minnesota,Midwest,1866,MN,Private not-for-profit,8,2150,2150,13463847,74,59
150,University of Oregon,OR,24381,Urban,107500,Eugene,Oregon,West,1876,OR,Public,18,24381,20402,27686043,89,63
151,"Rutgers University, Newark",NJ,15633,Urban,115500,Newark,New Jersey,Northeast,1908,NJ,Public,15,15633,10793,15372130,85,77
152,Texas Tech University,TX,41909,Urban,114800,Lubbock,Texas,South,1923,TX,Public,19,41909,34272,37108725,86,80
153,University of Washington Bothell,WA,7137,Suburban,117000,Bothell,Washington,West,1990,WA,Public,21,7137,6464,5859247,63,51
154,Fordham University,NY,19139,Urban,128500,Bronx,New York,Northeast,1841,NY,Private not-for-profit,13,19139,10576,64695360,92,91
155,Cooper Union,NY,985,Urban,149400,New York,New York,Northeast,1859,NY,Private not-for-profit,8,985,881,7496561,100,100
156,Iowa State University,IA,35319,Urban,111600,Ames,Iowa,Midwest,1858,IA,Public,18,35319,29246,38950588,93,86
157,University of the Pacific (CA),CA,6840,Urban,119300,Stockton,California,West,1851,CA,Private not-for-profit,14,6840,3846,25366314,96,96
158,Oregon State University,OR,37586,Urban,113600,Corvallis,Oregon,West,1868,OR,Public,18,37586,30839,18537198,88,80
159,Marquette University,WI,12601,Urban,122600,Milwaukee,Wisconsin,Midwest,1881,WI,Private not-for-profit,13,12601,8855,50489177,100,100
160,Rhodes College,TN,2156,Urban,121400,Memphis,Tennessee,South,1848,TN,Private not-for-profit,9,2156,2099,16975381,96,95
