rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,city,state,region,yearFounded,stateCode,collegeType,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
206,The Citadel,SC,4409,Urban,123400,Charleston,South Carolina,South,1842,SC,Public,12,4409,3243,6165967,88,79
207,Oberlin College,OH,3057,Rural,110600,Oberlin,Ohio,Midwest,1833,OH,Private not-for-profit,9,3057,3038,23308919,87,85
208,Rhode Island School of Design,RI,2557,Urban,108100, Providence,Rhode Island,Northeast,1877,RI,Private not-for-profit,9,2557,2041,5146274,42,33
209,University of Pittsburgh,PA,35563,Urban,110700,Pittsburgh,Pennsylvania,Northeast,1787,PA,Public,14,35563,24935,34485031,78,63
210,Gettysburg College,PA,2638,Urban,127600,Gettysburg,Pennsylvania,Northeast,1832,PA,Private not-for-profit,10,2638,2638,22569847,92,90
211,"California State University, Sacramento",CA,35953,Urban,109800,Sacramento,California,West,1947,CA,Public,26,35953,32212,32637412,85,80
212,"California State University, Chico",CA,18664,Urban,116600,Chico,California,West,1887,CA,Public,25,18664,17604,14608874,74,65
213,Towson University,MD,25370,Urban,103700,Towson,Maryland,Northeast,1866,MD,Public,16,25370,21684,16938356,82,60
214,"Colorado State University, Fort Collins",CO,37806,Urban,108100,Fort Collins,Colorado,West,1870,CO,Public,16,37806,28641,32175829,81,67
215,University of Cincinnati,OH,46140,Urban,107000,Cincinnati,Ohio,Midwest,1819,OH,Public,19,46140,32766,25238162,93,91
216,St. Olaf College,MN,3149,Rural,116800,Northfield,Minnesota,Midwest,1874,MN,Private not-for-profit,12,3149,3149,27998697,99,99
217,Rochester Institute of Technology,NY,18231,Suburban,115200,Rochester,New York,Northeast,1829,NY,Private not-for-profit,13,18231,14744,65479856,99,98
218,Gonzaga University,WA,8397,Urban,122700,Spokane,Washington,West,1887,WA,Private not-for-profit,11,8397,5413,31079162,100,100
219,Western Washington University,WA,17883,Urban,112800,Bellingham,Washington,West,1893,WA,Public,18,17883,16791,16930172,87,80
220,Florida Atlantic University,FL,37930,Urban,99800,Boca Raton,Florida,South,1964,FL,Public,22,37930,31632,27162923,87,82
221,"University of Hawaii, Manoa",HI,20702,Urban,101200,Honolulu,Hawaii,West,1907,HI,Public,13,20702,15160,9586881,72,61
222,"University of Nebraska, Lincoln",NE,32498,Urban,109100,Lincoln,Nebraska,,1869,,Public,16,32498,26359,40337626,93,85
223,California State University-Monterey Bay,CA,8493,Suburban,107700,Marina,California,West,,CA,Public,23,8493,7494,7068099,81,74
224,Clarkson University,NY,4697,Rural,146900,Potsdam,New York,Northeast,1896,NY,Private not-for-profit,13,4697,3193,30788988,100,100
225,Seattle University,WA,8023,Urban,129000,Seattle,Washington,West,1898,WA,Private not-for-profit,10,8023,5086,23878727,98,97
226,Stevens Institute of Technology,NJ,8158,Suburban,154300,Hoboken,New Jersey,Northeast,1870,NJ,Private not-for-profit,12,8158,3753,29076665,99,99
227,Reed College,OR,1562,Urban,125900,Portland,Oregon,West,1908,OR,Private not-for-profit,9,1562,1537,9154498,60,56
228,Loyola University Chicago,IL,19692,Urban,113900,Chicago,Illinois,Midwest,1870,IL,Private not-for-profit,14,19692,13878,60213922,99,98
229,Manhattan College,NY,4322,Urban,139000,Riverdale,New York,Northeast,1853,NY,Private not-for-profit,11,4322,3661,24158670,100,100
230,"California State University, East Bay",CA,18717,Suburban,112100,Hayward,California,West,1957,CA,Public,26,18717,15329,10704095,85,80
231,University of Mississippi,MS,24309,Rural,97600,Lafayette,Mississippi,,1844,,Public,16,24309,19151,30638509,87,82
232,Chapman University,CA,10654,Urban,108000,Orange,California,West,1861,CA,Private not-for-profit,12,10654,7988,44650554,89,85
233,Virginia Commonwealth University,VA,32628,Urban,96100,Richmond,Virginia,South,1838,VA,Public,18,32628,24766,40918621,83,73
234,Missouri University of Science and Technology,MO,8618,Rural,132000,Rolla,Missouri,Midwest,1870,MO,Public,19,8618,6629,12477615,99,97
235,Michigan Technological University,MI,7786,Rural,124400,Houghton,Michigan,Midwest,1885,MI,Public,13,7786,6296,17892362,99,99
236,"California State University, Stanislaus",CA,12213,Suburban,103100,Turlock,California,West,1957,CA,Public,22,12213,10762,13384037,92,88
237,Truman State University,MO,5637,Rural,100400,Kirksville,Missouri,Midwest,1867,MO,Public,14,5637,5210,8645601,100,100
238,Wheaton College (IL),IL,3416,Suburban,114500,Wheaton,Illinois,Midwest,1860,IL,Private not-for-profit,10,3416,2654,12477403,94,85
239,St. Lawrence University,NY,2554,Rural,125300,Canton,New York,Northeast,1856,NY,Private not-for-profit,10,2554,2490,24216619,97,97
240,Miami University (OH),OH,21667,Rural,120800,Oxford,Ohio,Midwest,1809,OH,Public,16,21667,18113,47334164,90,82
241,University of Rhode Island,RI,21108,Suburban,110800,Kingston,Rhode Island,Northeast,1892,RI,Public,17,21108,17724,34449621,98,90
242,Fairfield University,CT,6004,Suburban,135300,Fairfield,Connecticut,Northeast,1942,CT,Private not-for-profit,12,6004,4678,26634025,97,95
243,Drake University,IA,5504,Urban,115100,Des Moines,Iowa,Midwest,1881,IA,Private not-for-profit,10,5504,3071,21431169,100,100
244,Oklahoma State University,OK,26463,Rural,108800,Stillwater,Oklahoma,South,1890,OK,Public,18,26463,21688,33859117,92,86
245,"Rutgers University, Camden",NJ,8113,Urban,105600,Camden,New Jersey,Northeast,,NJ,Public,15,8113,6428,10811069,99,95
246,Sonoma State University,CA,9885,Suburban,106900,Rohnert Park,California,West,1960,CA,Public,21,9885,9012,8500978,73,63
247,Seton Hall University,NJ,11390,Suburban,115200,South Orange,New Jersey,Northeast,1856,NJ,Private not-for-profit,14,11390,6468,43765073,100,99
248,Utah State University,UT,33055,Urban,109100,Logan,Utah,West,1888,UT,Public,19,33055,29335,31964416,87,82
249,"SUNY, Geneseo",NY,5724,Rural,105800,Geneseo,New York,Northeast,1871,NY,Public,17,5724,5569,6924198,87,73
250,St. John's University (NY),NY,23167,Urban,119000,Queens,New York,Northeast,1870,NY,Private not-for-profit,16,23167,18131,89415786,100,100
251,California State University-San Marcos,CA,16959,Suburban,105300,San Marcos,California,West,,CA,Public,27,16959,15621,14513516,83,74
252,"University of North Carolina, Charlotte",NC,34715,Urban,101600,Charlotte,North Carolina,,1946,,Public,20,34715,27636,15523320,74,56
253,"University of Wisconsin, Eau Claire",WI,12230,Urban,100900,Eau Claire,Wisconsin,Midwest,1916,WI,Public,21,12230,11441,5569632,80,59
254,Rowan University,NJ,23231,Suburban,102500,Glassboro,New Jersey,Northeast,1923,NJ,Public,17,23231,18638,18594924,89,68
255,Centre College,KY,1421,Rural,102300,Danville,Kentucky,South,1819,KY,Private not-for-profit,10,1421,1421,12069819,100,100
256,"California State University, San Bernardino",CA,22157,Urban,97400,San Bernardino,California,West,1965,CA,Public,27,22157,19454,25380681,89,86
257,College of Saint Benedict and Saint John's University,MN,1799,Rural,124000,Collegeville,Minnesota,Midwest,1857,MN,Private not-for-profit,12,1799,1655,13310320,100,100
258,Samford University,AL,6127,Suburban,97300,Birmingham,Alabama,South,1841,AL,Private not-for-profit,12,6127,3687,16333865,100,99
259,Illinois State University,IL,23141,Suburban,104900,Normal,Illinois,Midwest,1857,IL,Public,19,23141,19798,34820222,94,89
260,SUNY Maritime College,NY,1860,Urban,164100,Throggs Neck,New York,Northeast,1874,NY,Public,16,1860,1674,1662985,78,59
261,University of Saint Thomas (MN),MN,11063,Urban,123700,St. Paul,Minnesota,Midwest,1885,MN,Private not-for-profit,14,11063,6780,40648287,98,96
262,Lewis & Clark College,OR,3554,Urban,109000,Portland,Oregon,West,1867,OR,Private not-for-profit,11,3554,1995,15577725,100,98
263,University of Louisville,KY,25451,Urban,95600,Louisville,Kentucky,South,1798,KY,Public,19,25451,18045,28475777,98,96
264,Providence College,RI,5254,Urban,123500,Providence,Rhode Island,Northeast,1917,RI,Private not-for-profit,11,5254,4584,24973738,76,71
265,Ramapo College of New Jersey,NJ,6913,Suburban,110000, Mahwah,New Jersey,Northeast,1962,NJ,Public,16,6913,6225,6271918,78,51
266,"SUNY, College of Environmental Science and Forestry",NY,2385,Urban,98700,Syracuse,New York,Northeast,1911,NY,Public,14,2385,1920,2405871,92,86
267,California State University Maritime Academy,CA,1016,Urban,139400,Vallejo,California,West,1929,CA,Public,13,1016,984,680549,67,49
268,Hobart and William Smith Colleges,NY,2109,Rural,126500,Geneva,New York,Northeast,1822,NY,Private not-for-profit,9,2109,2100,15173664,93,90
269,California Lutheran University,CA,4987,Urban,114700,Thousand Oaks,California,West,1959,CA,Private not-for-profit,14,4987,3363,20219395,99,99
269,Salisbury University,MD,9521,Suburban,99300,Salisbury,Maryland,Northeast,1922,MD,Public,15,9521,8395,8040917,91,88
271,University of North Texas,TX,45298,Urban,101300,Denton,Texas,South,1890,TX,Public,26,45298,36663,40814350,85,60
272,University of Mary Washington,VA,5098,Suburban,110000,Fredericksburg,Virginia,South,1908,VA,Public,13,5098,4713,5499211,93,89
273,DePaul University,IL,25937,Urban,116700,Chicago,Illinois,Midwest,1898,IL,Private not-for-profit,17,25937,16134,62751712,98,97
274,Thomas Jefferson University,PA,9785,Urban,100000,Philadelphia,Pennsylvania,Northeast,1825,PA,Private not-for-profit,13,9785,4395,18876486,99,98
275,Kansas State University,KS,23353,Urban,107400,Manhattan,Kansas,Midwest,1863,KS,Public,18,23353,18417,21834511,88,82
276,University of New Hampshire,NH,16001,Suburban,111500,Durham,New Hampshire,Northeast,1866,NH,Public,16,16001,13027,32132329,95,93
277,University of Alabama,AL,42096,Urban,103600,Tuscaloosa,Alabama,South,1820,AL,Public,20,42096,35872,75612520,85,78
278,Duquesne University,PA,10187,Urban,103500,Pittsburgh,Pennsylvania,Northeast,1878,PA,Private not-for-profit,13,10187,6272,30975668,100,100
279,"Embry-Riddle Aeronautical University, Daytona Beach",FL,7521,Urban,121200,Daytona Beach,Florida,South,1926,FL,Private not-for-profit,18,7521,6792,28621643,96,96
280,Pace University,NY,15486,Urban,121300,New York,New York,Northeast,1906,NY,Private not-for-profit,14,15486,9649,57422148,96,96
281,"University at Albany, SUNY",NY,20099,Urban,118200,Albany,New York,Northeast,1844,NY,Public,19,20099,15185,20572218,87,76
282,Wofford College,SC,1776,Urban,118900,Spartanburg,South Carolina,South,1854,SC,Private not-for-profit,12,1776,1776,14796396,98,98
283,Ithaca College,NY,6780,Suburban,119300,Ithaca,New York,Northeast,1892,NY,Private not-for-profit,9,6780,6143,40842598,98,96
284,Montclair State University,NJ,24101,Suburban,109100,Montclair,New Jersey,Northeast,1908,NJ,Public,18,24101,18661,20242277,82,62
285,College of Charleston,SC,13062,Urban,94900,Charleston,South Carolina,South,1770,SC,Public,15,13062,10498,17383059,85,83
286,Sewanee—University of the South,TN,1957,Rural,128700,Sewanee,Tennessee,South,1857,TN,Private not-for-profit,10,1957,1797,11230304,96,96
287,Butler University,IN,5955,Urban,111700,Indianapolis,Indiana,Midwest,1855,IN,Private not-for-profit,12,5955,4808,20737230,96,96
288,New Mexico Institute of Mining and Technology,NM,2123,Rural,133400,Socorro,New Mexico,West,1889,NM,Public,8,2123,1479,1950329,98,97
289,Hope College,MI,3158,Urban,97300,Holland,Michigan,Midwest,1866,MI,Private not-for-profit,11,3158,3158,13092485,97,97
290,College of Wooster,OH,2128,Rural,105800,Wooster,Ohio,Midwest,1866,OH,Private not-for-profit,11,2128,2128,20804857,99,99
291,Gustavus Adolphus College,MN,2611,Rural,113200,St. Peter,Minnesota,Midwest,1862,MN,Private not-for-profit,12,2611,2611,20553279,99,98
292,"SUNY, Farmingdale State College",NY,12841,Suburban,104300,Farmingdale,New York,Northeast,,NY,Public,19,12841,12774,7770070,74,62
293,"University of Colorado, Denver",CO,31796,Urban,105300,Denver,Colorado,West,1912,CO,Public,17,31796,20717,7673141,82,76
294,Rockhurst University,MO,4354,Urban,104900,Kansas City,Missouri,Midwest,1910,MO,Private not-for-profit,14,4354,3029,12555308,100,100
295,University of North Florida,FL,20515,Urban,97500,Jacksonville,Florida,South,1972,FL,Public,19,20515,17574,20185843,90,86
296,Saint Mary's College of California,CA,4169,Suburban,130800,Moraga,California,West,1863,CA,Private not-for-profit,9,4169,2754,14064191,100,100
297,"CUNY, Lehman College",NY,19829,Urban,89600,New York,New York,Northeast,1931,NY,Public,17,19829,17112,9013756,95,95
298,Loyola University Maryland,MD,5945,Urban,128600,Baltimore,Maryland,Northeast,1852,MD,Private not-for-profit,12,5945,4021,31142040,97,96
299,"CUNY, John Jay College of Criminal Justice",NY,19553,Urban,93600,New York,New York,Northeast,1964,NY,Public,19,19553,16900,17922560,95,94
299,New School,NY,12046,Urban,115700,New York,New York,Northeast,1919,NY,Private not-for-profit,9,12046,8802,25406466,84,84
301,Appalachian State University,NC,20799,Rural,92900,Boone,North Carolina,South,1899,NC,Public,16,20799,18679,12650612,68,39
302,"University of Houston, Clear Lake",TX,11134,Suburban,105500,Houston,Texas,South,,TX,Public,17,11134,8080,1643068,67,61
303,"University of Nevada, Las Vegas",NV,34979,Urban,99100,Las Vegas,Nevada,West,1957,NV,Public,18,34979,28841,26074353,96,93
304,Wabash College,IN,871,Rural,143800,Crawfordsville,Indiana,Midwest,1832,IN,Private not-for-profit,9,871,871,7868014,100,100
305,Mississippi State University,MS,24449,Rural,103200,Mississippi State,Mississippi,South,1878,MS,Public,16,24449,20288,44017359,98,98
306,"California State University, Channel Islands",CA,8436,Suburban,97600,Camarillo,California,West,,CA,Public,22,8436,7935,6308844,81,76
307,"University of Texas, Arlington",TX,61457,Urban,107300,Arlington,Texas,South,1895,TX,Public,24,61457,43756,29503356,90,84
308,California State University-Dominguez Hills,CA,19491,Urban,94900,Dominguez Hills,California,West,,CA,Public,27,19491,16449,22856003,93,92
309,University of California-Merced,CA,9268,Rural,,Merced,California,West,,CA,Public,19,9268,8546,45392254,93,91
310,Willamette University,OR,2954,Urban,115500,Salem,Oregon,West,1842,OR,Private not-for-profit,10,2954,2253,10612534,100,99
311,University of Massachusetts Boston,MA,19107,Urban,102700,Boston,Massachusetts,Northeast,1964,MA,Public,17,19107,15054,20489164,89,83
312,Hofstra University,NY,11750,Suburban,126400,Hempstead,New York,Northeast,1935,NY,Private not-for-profit,13,11750,6933,42852227,98,97
313,Saint Joseph's University (PA),PA,8436,Urban,117400,Philadelphia,Pennsylvania,Northeast,1851,PA,Private not-for-profit,11,8436,5016,29909098,98,98
314,Ohio Northern University,OH,2996,Rural,111600,Ada,Ohio,Midwest,1871,OH,Private not-for-profit,11,2996,2276,13903531,99,97
315,Clark University (MA),MA,3880,Urban,124300,Worcester,Massachusetts,Northeast,1887,MA,Private not-for-profit,9,3880,2592,17445475,97,95
316,Bradley University,IL,6377,Urban,116200,Peoria,Illinois,Midwest,1897,IL,Private not-for-profit,14,6377,4750,23519476,100,100
317,Le Moyne College,NY,3802,Suburban,106700,Syracuse,New York,Northeast,1946,NY,Private not-for-profit,13,3802,3034,16666361,100,100
318,Azusa Pacific University,CA,10989,Suburban,95600,Azusa,California,West,1899,CA,Private not-for-profit,10,10989,5497,16614657,95,94
319,"University of Puerto Rico, Mayaguez",PR,13441,Urban,120500,MayagŸez,Puerto Rico,South,,PR,Public,21,13441,12493,11356625,93,93
320,Kettering University,MI,2670,Urban,138700,Flint,Michigan,Midwest,1919,MI,Private not-for-profit,13,2670,2068,8085115,100,100
321,University of Puget Sound,WA,2757,Urban,123900,Tacoma,Washington,West,1888,WA,Private not-for-profit,9,2757,2354,18394700,100,100
322,Southwestern University,TX,1562,Urban,105000,Georgetown,Texas,South,1840,TX,Private not-for-profit,13,1562,1562,12231647,100,99
323,Pennsylvania State University,PA,102826,Urban,,State College,Pennsylvania,Northeast,1855,PA,Public,15,102826,84202,78568766,75,60
324,Calvin University,MI,4020,Urban,105500,Grand Rapids,Michigan,Midwest,1876,MI,Private not-for-profit,12,4020,3782,18522363,100,100
325,"University of Florida, Online",FL,4932,Urban,,Gainesville,Florida,South,,FL,Public,49,4932,4932,5067521,90,87
326,University of Alabama at Birmingham,AL,25843,Urban,94900,Birmingham,Alabama,South,1969,AL,Public,20,25843,14969,21997466,96,91
327,California State University-Bakersfield,CA,12854,Urban,102700,Bakersfield,California,West,,CA,Public,23,12854,11027,14475551,91,88
328,Lake Forest College,IL,1723,Suburban,119900,Lake Forest,Illinois,Midwest,1857,IL,Private not-for-profit,12,1723,1696,13925934,99,99
329,"University of Minnesota, Morris",MN,1637,Rural,97200,Morris,Minnesota,Midwest,1960,MN,Public,11,1637,1637,4130032,98,96
330,University of North Dakota,ND,17182,Urban,104000,Grand Forks,North Dakota,Midwest,1883,ND,Public,17,17182,12954,8117000,95,89
331,Tennessee Technological University,TN,11103,Rural,100300,Cookeville,Tennessee,South,1915,TN,Public,18,11103,9646,13968673,98,98
332,Valparaiso University,IN,3808,Suburban,110100,Valparaiso,Indiana,Midwest,1859,IN,Private not-for-profit,11,3808,3176,20596432,100,100
333,"Embry-Riddle Aeronautical University, Prescott",AZ,3114,Rural,135000,Prescott,Arizona,West,1978,AZ,Private not-for-profit,18,3114,3056,13618734,98,97
333,Grove City College,PA,2481,Rural,113500,Grove City,Pennsylvania,Northeast,1876,PA,Private not-for-profit,13,2481,2481,2516423,80,66
335,Marist College,NY,7645,Suburban,112100,Poughkeepsie,New York,Northeast,1929,NY,Private not-for-profit,16,7645,6503,27575673,94,93
336,Northeastern University Lifelong Learning Network,MA,14916,Urban,,Boston,Massachusetts,Northeast,,MA,Private not-for-profit,14,14916,4243,,,
337,"SUNY, College at New Paltz",NY,8902,Suburban,97300,New Paltz,New York,Northeast,1828,NY,Public,15,8902,7684,7791581,83,70
338,"University of Nebraska, Omaha",NE,17913,Urban,96900,Omaha,Nebraska,Midwest,1908,NE,Public,16,17913,14138,10161105,88,70
339,The Catholic University of America,DC,6156,Urban,120000,Washington,District of Columbia,Northeast,1887,DC,Private not-for-profit,11,6156,3371,23750464,98,98
340,West Virginia University,WV,30045,Urban,110100,Morgantown,West Virginia,South,1867,WV,Public,21,30045,23061,41150449,95,85
341,University of Alabama in Huntsville,AL,11312,Urban,116200,Huntsville,Alabama,South,1950,AL,Public,19,11312,8898,16612799,96,93
342,Juniata College,PA,1651,Rural,104400,Huntingdon,Pennsylvania,Northeast,1876,PA,Private not-for-profit,13,1651,1611,14835563,100,100
343,University of Idaho,ID,13852,Rural,107900,Moscow,Idaho,West,1889,ID,Public,16,13852,10568,14633630,99,96
344,Lawrence University,WI,1459,Urban,119000,Appleton,Wisconsin,Midwest,1847,WI,Private not-for-profit,8,1459,1459,13661049,100,100
345,University of Michigan-Dearborn,MI,10611,Urban,109700,Dearborn,Michigan,Midwest,1959,MI,Public,16,10611,7803,8108245,92,86
346,John Carroll University,OH,3857,Suburban,120400,University Heights,Ohio,Midwest,1886,OH,Private not-for-profit,13,3857,3185,20417390,99,97
347,"University of Missouri, Saint Louis",MO,19090,Suburban,93100,St. Louis,Missouri,Midwest,1963,MO,Public,19,19090,15549,6136848,96,94
348,Maine Maritime Academy,ME,1029,Rural,131800,Castine,Maine,Northeast,,ME,Public,9,1029,1010,1828439,94,72
349,Howard University,DC,9831,Urban,115000,Washington,District of Columbia,Northeast,1867,DC,Private not-for-profit,12,9831,6801,42564951,98,98
350,Muhlenberg College,PA,2950,Urban,112200,Allentown,Pennsylvania,Northeast,1848,PA,Private not-for-profit,9,2950,2950,17845631,96,96
351,University of Wyoming,WY,13616,Rural,105000,Laramie,Wyoming,West,1886,WY,Public,14,13616,10836,14017953,95,89
352,University of Massachusetts Lowell,MA,22192,Suburban,122100,Lowell,Massachusetts,Northeast,1894,MA,Public,19,22192,16869,21222061,91,81
353,Brigham Young University-Idaho,ID,58767,Rural,111700,Rexburg,Idaho,West,1888,ID,Private not-for-profit,20,58767,58767,10934390,60,48
354,Mercer University,GA,9933,Urban,91300,Macon,Georgia,South,1833,GA,Private not-for-profit,14,9933,5420,28611454,100,100
355,Montana Tech of the University of Montana,MT,1944,Rural,113700,Butte,Montana,West,1900,MT,Public,13,1944,1645,1522295,93,82
356,Beloit College,WI,1302,Urban,100400,Beloit,Wisconsin,Midwest,1846,WI,Private not-for-profit,10,1302,1302,10088486,100,100
357,University of St. Thomas (TX),TX,3938,Urban,102800,Houston,Texas,South,,TX,Private not-for-profit,14,3938,2313,7314817,97,96
358,Washington & Jefferson College,PA,1296,Suburban,114300,Washington,Pennsylvania,Northeast,1781,PA,Private not-for-profit,10,1296,1293,10294594,100,100
359,Austin College,TX,1326,Urban,103900,Sherman,Texas,South,1849,TX,Private not-for-profit,12,1326,1306,12478447,100,100
360,SUNY Polytechnic Institute,NY,3393,Suburban,101400,Utica,New York,Northeast,,NY,Public,13,3393,2433,3281860,96,93
361,"University of Wisconsin, La Crosse",WI,11501,Urban,96100,La Crosse,Wisconsin,Midwest,1909,WI,Public,19,11501,10329,3723018,77,56
362,Portland State University,OR,30571,Urban,97800,Portland,Oregon,West,1946,OR,Public,19,30571,24062,10214070,84,72
363,Loma Linda University,CA,5447,Suburban,108700,Loma Linda,California,West,,CA,Private not-for-profit,3,5447,1811,,,
364,Milwaukee School of Engineering,WI,2874,Urban,125000,Milwaukee,Wisconsin,Midwest,1903,WI,Private not-for-profit,14,2874,2653,16129148,100,100
365,North Dakota State University,ND,14384,Urban,108100,Fargo,North Dakota,Midwest,1890,ND,Public,19,14384,11626,8565382,95,78
366,"University of Minnesota, Duluth",MN,11557,Urban,105300,Duluth,Minnesota,Midwest,1902,MN,Public,17,11557,10456,10285638,90,74
367,Georgia State University,GA,41177,Urban,99000,Atlanta,Georgia,South,1913,GA,Public,27,41177,32742,48202413,95,91
368,Adelphi University,NY,9074,Suburban,103900,Garden City,New York,Northeast,1896,NY,Private not-for-profit,12,9074,5911,24087209,92,91
369,Bryant University,RI,4104,Suburban,122800,Smithfield,Rhode Island,Northeast,,RI,Private not-for-profit,13,4104,3491,18314637,97,96
370,University of Dallas,TX,2894,Urban,117000,Irving,Texas,South,1955,TX,Private not-for-profit,12,2894,1538,12164225,100,100
371,West Chester University of Pennsylvania,PA,19680,Suburban,98200,West Chester,Pennsylvania,Northeast,1871,PA,Public,20,19680,15885,10949693,85,65
372,Westminster College (UT),UT,2419,Urban,107000,Salt Lake City,Utah,West,,UT,Private not-for-profit,9,2419,1877,6763969,100,100
373,Cedarville University,OH,4763,Rural,102300,Cedarville,Ohio,Midwest,1887,OH,Private not-for-profit,15,4763,4241,17264768,100,100
374,Pacific Lutheran University,WA,3447,Suburban,112600,Tacoma,Washington,West,1890,WA,Private not-for-profit,12,3447,2835,18670776,100,100
375,"Indiana University-Purdue University, Indianapolis",IN,33900,Urban,93500,Indianapolis,Indiana,Midwest,1969,IN,Public,14,33900,24230,37662116,92,87
376,University of Redlands,CA,5960,Urban,112600,Redlands,California,West,1907,CA,Private not-for-profit,12,5960,3452,27153400,99,98
377,Oregon Institute of Technology,OR,8065,Rural,111300,Klamath Falls,Oregon,West,1947,OR,Public,16,8065,7894,2335782,94,90
378,Seattle Pacific University,WA,3920,Urban,114900,Seattle,Washington,West,1891,WA,Private not-for-profit,13,3920,2935,20304637,99,99
379,College of Saint Benedict,MN,1789,Suburban,104700,St. Joseph,Minnesota,Midwest,1913,MN,Private not-for-profit,12,1789,1789,14549179,100,100
380,University of Missouri-Kansas City,MO,18894,Urban,97000,Kansas City,Missouri,Midwest,1933,MO,Public,16,18894,12938,7795826,92,84
381,Virginia Military Institute,VA,1740,Rural,135100,Lexington,Virginia,South,1839,VA,Public,11,1740,1740,3033217,94,85
382,Northern Arizona University,AZ,34290,Urban,98200,Flagstaff,Arizona,West,1899,AZ,Public,22,34290,29070,50835986,95,94
382,Wagner College ,NY,2315,Urban,111100,Staten Island,New York,Northeast,1883,NY,Private not-for-profit,15,2315,1859,12439608,100,100
384,Rollins College,FL,3363,Suburban,101900,Winter Park,Florida,South,1885,FL,Private not-for-profit,12,3363,2773,18134490,95,95
385,Texas State University,TX,42292,Urban,98000,San Marcos,Texas,South,1899,TX,Public,22,42292,37202,41859704,80,70
386,McDaniel College,MD,3418,Suburban,108400,Westminster,Maryland,Northeast,,MD,Private not-for-profit,13,3418,1789,19604345,100,99
387,Simmons University,MA,7562,Urban,102500,Boston,Massachusetts,Northeast,1899,MA,Private not-for-profit,9,7562,1844,13607345,100,99
388,Hampden-Sydney College,VA,1003,Rural,126400,Hampden-Sydney,Virginia,South,1775,VA,Private not-for-profit,9,1003,1003,6846834,100,100
389,Linfield University,OR,1480,Rural,101600,McMinnville,Oregon,West,1858,OR,Private not-for-profit,11,1480,1480,13772132,100,100
390,Saint Anselm College,NH,2063,Suburban,120000,Manchester,New Hampshire,Northeast,1889,NH,Private not-for-profit,11,2063,2063,14106191,100,100
391,University of Texas at San Antonio,TX,36089,Urban,97700,San Antonio,Texas,South,1969,TX,Public,27,36089,31261,26322685,87,76
392,Siena College,NY,3498,Suburban,116700,Loudonville,New York,Northeast,1937,NY,Private not-for-profit,13,3498,3371,23367694,97,97
393,"University of North Carolina, Wilmington",NC,20367,Urban,90600,Wilmington,North Carolina,South,1947,NC,Public,17,20367,17001,8012824,72,52
394,SUNY College at Old Westbury,NY,6331,Suburban,99200,Old Westbury,New York,Northeast,1965,NY,Public,17,6331,5948,4611285,85,78
395,Texas Woman's University,TX,19733,Urban,86000,Denton,Texas,South,1901,TX,Public,19,19733,12463,10535194,95,90
396,Fairleigh Dickinson University,NJ,9692,Suburban,105200,Teaneck,New Jersey,Northeast,1942,NJ,Private not-for-profit,15,9692,7328,17740308,96,96
397,Florida Gulf Coast University,FL,17114,Suburban,89700,Fort Myers,Florida,South,1991,FL,Public,22,17114,15446,13750710,78,78
398,Massachusetts Maritime Academy,MA,1890,Suburban,126800,Buzzards Bay,Massachusetts,Northeast,,MA,Public,14,1890,1786,4015136,95,72
399,Oakland University,MI,22230,Suburban,102700,Rochester,Michigan,Midwest,1957,MI,Public,19,22230,18047,23004903,93,88
399,Quinnipiac University,CT,11047,Suburban,103800,Hamden,Connecticut,Northeast,1929,CT,Private not-for-profit,15,11047,7430,36944090,99,97
401,Stonehill College,MA,2618,Suburban,115500,Easton,Massachusetts,Northeast,1948,MA,Private not-for-profit,11,2618,2563,17493995,100,100
402,Pratt Institute,NY,6418,Urban,113200,Brooklyn,New York,Northeast,1887,NY,Private not-for-profit,9,6418,4935,13942148,81,74
403,Allegheny College,PA,1843,Rural,112100,Meadville,Pennsylvania,Northeast,1815,PA,Private not-for-profit,9,1843,1843,19241661,100,100
404,Canisius College,NY,3538,Urban,103400,Buffalo,New York,Northeast,1870,NY,Private not-for-profit,11,3538,2349,11168419,100,100
405,New College of Florida,FL,747,Urban,106300,Sarasota,Florida,South,1960,FL,Public,6,747,722,1583167,99,99
406,Ohio University,OH,31679,Rural,102300,Athens,Ohio,Midwest,1804,OH,Public,16,31679,23910,23005829,95,88
407,Illinois Wesleyan University,IL,1643,Urban,111300,Bloomington,Illinois,Midwest,1850,IL,Private not-for-profit,11,1643,1643,12542608,100,100
408,Drew University,NJ,2656,Suburban,111900,Madison,New Jersey,Northeast,1867,NJ,Private not-for-profit,12,2656,1877,11748152,97,97
409,University of Detroit Mercy,MI,5574,Urban,99400,Detroit,Michigan,Midwest,,MI,Private not-for-profit,11,5574,3062,10507949,100,100
410,Central Washington University,WA,14090,Rural,103000,Ellensburg,Washington,West,,WA,Public,20,14090,13137,12733290,88,81
411,New York Institute of Technology,NY,8088,Suburban,113200,Old Westbury,New York,Northeast,,NY,Private not-for-profit,11,8088,4116,22440522,99,99
412,Monmouth University,NJ,6618,Suburban,107700,West Long Branch,New Jersey,Northeast,,NJ,Private not-for-profit,12,6618,4775,23995978,99,99
